,tweet
108,"🚨 At least 16 Palestinians were injured as Israeli occupation forces violently attacked  mourners at Walid Al-Shareef funeral with gas grenades in occupied Jerusalem.

#IsraeliApartheid #Jerusalem #IsraeliTerrorism https://t.co/45wGEjbknn"
109,"🚨 An Israeli occupation forces a Palestinian girl in Salah Eddin Street in Jerusalem!!!

#IsraeliTerrorism #IsraeliCrimes
#Terrorism #Jerusalem https://t.co/TGzsUZHehx"
110,"Dear Queen, or Prince Charles, or whoever's running the show, if you don't want the non-violent #BDS are you advocating armed resistance? https://t.co/mrIEUmRmxa"
111,The crimes of #ApartheidIsrael https://t.co/cjmYxpZwzG
112,"The level of evil to shoot mourners in a funeral yall..  It’s monstrous.

#Israel 
#ApartheidIsrael https://t.co/kOSlLQ0pFS"
113,"@RozRothstein 80’s butt rock 🤝 Apartheid 

#BDS"
114,Israeli occupation forces once again attacking a funeral of a young Palestinian 'Walid Al Sharif' they killed in cold blood!! #IsraeliCrimes https://t.co/mhL3EOS7pF
115,"The govt announced a plan to make it ILLEGAL for public bodies to practise #BDS

➡️Sign the petition NOW to protect the right to make ethical choices in a free society https://t.co/EzbyZPyift

If we don’t take action now, it could eventually affect our individual #RightToBoycott https://t.co/d7I1a3pEZb"
116,"Better late than never…
#FreePalestine #BDS
#ICC4Israel
#https://www.msn.com/en-ca/news/canada/joly-condemns-israeli-police-behaviour-at-palestinian-journalists-funeral/ar-AAXlVJU?ocid=sapphireappshare"
117,"More than 30 years ago Apartheid South Africa became unacceptable. It is time for the world to say No to #ApartheidIsrael 
The world must stop Funding Israeli crimes against #Palestinians https://t.co/3IdxGgMAPO"
118,"More than 30 years ago Apartheid South Africa became unacceptable. It is time for the world to say No to #ApartheidIsrael 
The world must stop Funding Israeli crimes against #Palestinians https://t.co/3IdxGgMAPO"
119,Israeli occupation forces once again attacking a funeral of a young Palestinian 'Walid Al Sharif' they killed in cold blood!! #IsraeliCrimes https://t.co/mhL3EOS7pF
120,"Mass arrests of mourners inside the cemetery after Israeli occupiers attacked the funeral procession.. So now it's a crime to attend a funeral?!!

#IsraeliCrimes #Jerusalem https://t.co/7kN9scgCp6"
121,"#Palestinian students at Tel Aviv university marking 74 years of their #Nakba attacked by the #ApartheidIsrael police force. For #Zionism to succeed, the #Palestinians must forget. We haven’t and we won’t. All 14 million of us. We will return and #Apartheid will end. https://t.co/qadFxpoWnM"
122,"The paramedic who was injured after Israeli occupation forces brutally attacked the funeral procession of the martyr Walid Al Sharif, in occupied #Jerusalem.

#IsraeliCrimes #ShireenAbuAkleh https://t.co/wCX23UEb78"
123,"For the second time in 4 days! Israeli occupation forces attack a funeral, injuring at least 37 Palestinians including a journalist &amp; a paramedic! IOF also shot at the palestine red crescent society ambulance that was transporting the martyr's body. #IsraeliCrimes https://t.co/3GTwYahL3v"
124,"@emmettimanu @japNakFikir @luan_kotori @gomiriam63 @cool_grandad @RyuGwansunSTAN @Carl0s_Vela @passenger747 @Tax_Dodge_Hodge @seanyzf750 @VfxAiden @BgoerckeRobert @fr33palest1ne @Buckeye_ricky @whywouldyou_uk @WeinsteinDr @asegovia9 @6TK9Cn1RB4A49B1 @KesBilly @RikkAngel @daggerhaft @IMDibe @MehrMiriam @IreneMinkema @Maccabi226km @robinsonmsr10 @EdwardRose5 @Theodownunder @Roza_Shamina @soc_justice1 @EyalDavid1 @e72319143 @MetschSusana @LongLiveZion2 @reallhere @JoshStern12 @garybkatz @DavidSimonSPG @anzarmlateef @Gul8877 @HillishStamford @MiriamL99472550 @JonathanWeissb3 @THEEQUA33646335 @s17766566 @Free2smile1 @Wildflower1948 @IsGrandDaughter @ihaveadreamanna @JustynMatlock Deception, Deceit  &amp; propaganda is in jewish blood 
BDS #BDS"
125,"At least 71 Palestinians were injured as Israeli occupation forces violently attacked  mourners at Walid Al-Shareef funeral with gas grenades in occupied Jerusalem.

#IsraeliCrimes
#Act4Palestine https://t.co/FPsLrvN61w"
126,"The #Israeli police attacked him at #Alaqsa, now they torment his family &amp; mourners at his funeral in occupied #Jerusalem. Savage, heartless, inhumane occupation. When will #Palestinians get the justice and human rights they deserve? #Israelicrimes #FreePalestine #Palestine https://t.co/4TnKozfd75"
127,"Thousands march through Brooklyn to mark Nakba, the 1948 Palestinian catastrophe #BDS #Israel https://t.co/dvQqhcnmhK"
128,"i dont care if she came running,
these turds had no right assaulting her that way. look at their mannerism they know they can’t be touched and the world will be quiet about this. #israelicrimes https://t.co/Gy2Au9fWNn"
